Loading files... 
  Starting train.txt
  Finished train.txt, still running: 0
Loaded 170 facts in 26 ms using -2 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.25
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?a  p7  ?b   => ?a  p4  ?b	0.115384615	0.272727273	0.75	3	11	4	?a	0.0	0.0	0.0
?a  p2  ?b   => ?a  p5  ?b	0.133333333	0.444444444	1	4	9	4	?b	0.0	0.0	0.0
?a  p4  ?f  ?b  p8  ?f   => ?a  p6  ?b	0.5	0.555555556	1	5	9	5	?a	0.0	0.0	0.0
?a  p9  ?b   => ?a  p5  ?b	0.233333333	0.25	0.777777778	7	28	9	?b	0.0	0.0	0.0
?a  p5  ?b   => ?a  p9  ?b	0.25	0.233333333	0.636363636	7	30	11	?b	0.0	0.0	0.0
?a  p2  ?b   => ?a  p9  ?b	0.178571429	0.555555556	0.833333333	5	9	6	?b	0.0	0.0	0.0
?a  p9  ?b   => ?a  p2  ?b	0.555555556	0.178571429	0.833333333	5	28	6	?a	0.0	0.0	0.0
?a  p5  ?b   => ?a  p2  ?b	0.444444444	0.133333333	0.8	4	30	5	?a	0.0	0.0	0.0
?a  p4  ?b   => ?a  p7  ?b	0.272727273	0.115384615	0.75	3	26	4	?a	0.0	0.0	0.0
?f  p10  ?b  ?a  p5  ?f   => ?a  p4  ?b	0.115384615	0.333333333	0.75	3	9	4	?a	0.0	0.0	0.0
?f  p10  ?b  ?a  p2  ?f   => ?a  p4  ?b	0.115384615	0.75	1	3	4	3	?a	0.0	0.0	0.0
?e  p5  ?a  ?e  p7  ?b   => ?a  p10  ?b	0.043478261	0.333333333	1	1	3	1	?a	0.0	0.0	0.0
?b  p10  ?f  ?a  p4  ?f   => ?a  p5  ?b	0.1	0.176470588	0.5	3	17	6	?b	0.0	0.0	0.0
?b  p10  ?f  ?a  p7  ?f   => ?a  p5  ?b	0.033333333	0.166666667	0.333333333	1	6	3	?b	0.0	0.0	0.0
?e  p3  ?b  ?e  p9  ?a   => ?a  p5  ?b	0.166666667	1	1	5	5	5	?b	0.0	0.0	0.0
?a  p2  ?b  ?a  p5  ?b   => ?a  p9  ?b	0.107142857	0.75	1	3	4	3	?b	0.0	0.0	0.0
?b  p10  ?f  ?a  p4  ?f   => ?a  p9  ?b	0.321428571	0.529411765	0.75	9	17	12	?b	0.0	0.0	0.0
?b  p10  ?f  ?a  p7  ?f   => ?a  p9  ?b	0.142857143	0.666666667	0.8	4	6	5	?b	0.0	0.0	0.0
?a  p3  ?f  ?b  p5  ?f   => ?a  p9  ?b	0.178571429	0.625	0.833333333	5	8	6	?b	0.0	0.0	0.0
?a  p5  ?b  ?a  p9  ?b   => ?a  p2  ?b	0.333333333	0.428571429	1	3	7	3	?a	0.0	0.0	0.0
?b  p10  ?f  ?a  p4  ?f   => ?a  p2  ?b	0.333333333	0.176470588	1	3	17	3	?a	0.0	0.0	0.0
?e  p4  ?b  ?e  p6  ?a   => ?a  p8  ?b	0.294117647	0.833333333	1	5	6	5	?b	0.0	0.0	0.0
?f  p10  ?b  ?a  p9  ?f   => ?a  p7  ?b	0.363636364	0.25	0.8	4	16	5	?a	0.0	0.0	0.0
?f  p10  ?b  ?a  p5  ?f   => ?a  p7  ?b	0.090909091	0.111111111	0.5	1	9	2	?a	0.0	0.0	0.0
?f  p10  ?b  ?a  p9  ?f   => ?a  p4  ?b	0.346153846	0.5625	0.9	9	16	10	?a	0.0	0.0	0.0
?f  p5  ?b  ?a  p9  ?f   => ?a  p3  ?b	0.555555556	0.277777778	0.625	5	18	8	?a	0.0	0.0	0.0
?e  p4  ?b  ?e  p5  ?a   => ?a  p10  ?b	0.130434783	0.333333333	1	3	9	3	?a	0.0	0.0	0.0
?e  p4  ?b  ?e  p9  ?a   => ?a  p10  ?b	0.391304348	0.642857143	1	9	14	9	?a	0.0	0.0	0.0
?e  p7  ?b  ?e  p9  ?a   => ?a  p10  ?b	0.173913043	0.8	1	4	5	4	?a	0.0	0.0	0.0
?e  p2  ?a  ?e  p4  ?b   => ?a  p10  ?b	0.130434783	0.428571429	1	3	7	3	?a	0.0	0.0	0.0
?a  p6  ?f  ?f  p8  ?b   => ?a  p4  ?b	0.192307692	0.454545455	0.833333333	5	11	6	?a	0.0	0.0	0.0
Mining done in 0.23 s
Total time 0.26 s
31 rules mined.
