Loading files... 
  Starting train.txt
  Finished train.txt, still running: 0
Loaded 875 facts in 0.10 s using -2 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.25
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?b  p8  ?a   => ?a  p0  ?b	0.05	0.037037037	1	1	27	1	?a	0.0	0.0	0.0
?b  p9  ?a   => ?a  p0  ?b	1	0.434782609	0.952380952	20	46	21	?a	0.0	0.0	0.0
?a  p6  ?b   => ?a  p0  ?b	0.65	0.288888889	1	13	45	13	?a	0.0	0.0	0.0
?b  p2  ?a   => ?a  p0  ?b	0.65	0.541666667	1	13	24	13	?a	0.0	0.0	0.0
?b  p10  ?a   => ?a  p10  ?b	0.888888889	0.888888889	1	40	45	40	?a	0.0	0.0	0.0
?b  p0  ?a   => ?a  p2  ?b	0.541666667	0.65	1	13	20	13	?a	0.0	0.0	0.0
?a  p8  ?b   => ?a  p2  ?b	0.041666667	0.037037037	1	1	27	1	?a	0.0	0.0	0.0
?b  p6  ?a   => ?a  p2  ?b	0.791666667	0.422222222	0.95	19	45	20	?a	0.0	0.0	0.0
?a  p9  ?b   => ?a  p2  ?b	0.791666667	0.413043478	0.95	19	46	20	?a	0.0	0.0	0.0
?b  p6  ?a   => ?a  p8  ?b	0.814814815	0.488888889	1	22	45	22	?a	0.0	0.0	0.0
?b  p0  ?a   => ?a  p8  ?b	0.037037037	0.05	1	1	20	1	?a	0.0	0.0	0.0
?a  p5  ?b   => ?a  p8  ?b	0.555555556	0.75	1	15	20	15	?a	0.0	0.0	0.0
?a  p2  ?b   => ?a  p8  ?b	0.037037037	0.041666667	1	1	24	1	?a	0.0	0.0	0.0
?b  p3  ?a  ?b  p9  ?a   => ?a  p0  ?b	0.05	1	1	1	1	1	?a	0.0	0.0	0.0
?b  p0  ?a   => ?a  p9  ?b	0.434782609	1	1	20	20	20	?a	0.0	0.0	0.0
?a  p2  ?b   => ?a  p9  ?b	0.413043478	0.791666667	1	19	24	19	?a	0.0	0.0	0.0
?b  p6  ?a   => ?a  p9  ?b	0.413043478	0.422222222	0.542857143	19	45	35	?a	0.0	0.0	0.0
?b  p9  ?a   => ?a  p9  ?b	0.434782609	0.434782609	0.869565217	20	46	23	?a	0.0	0.0	0.0
?b  p8  ?a   => ?a  p6  ?b	0.488888889	0.814814815	1	22	27	22	?a	0.0	0.0	0.0
?b  p5  ?a   => ?a  p6  ?b	0.444444444	1	1	20	20	20	?a	0.0	0.0	0.0
?b  p2  ?a   => ?a  p6  ?b	0.422222222	0.791666667	1	19	24	19	?a	0.0	0.0	0.0
?a  p0  ?b   => ?a  p6  ?b	0.288888889	0.65	1	13	20	13	?a	0.0	0.0	0.0
?b  p9  ?a   => ?a  p6  ?b	0.422222222	0.413043478	0.904761905	19	46	21	?a	0.0	0.0	0.0
